!         xpos (m)          ypos (m)          Va (m/s)       alpha (deg)       
         -31879.85          1091.2160           110.5874             5.0000
         -31707.91          1082.2052           110.5874             5.0000
         -31535.98          1073.1944           110.5874             5.0000
         -31364.04          1064.1836           110.5874             5.0000
         -31192.10          1055.1728           110.5874             5.0000
         -31020.17          1046.1619           110.5874             5.0000
         -30848.23          1037.1511           110.5874             5.0000
         -30676.29          1028.1403           110.5874             5.0000
         -30504.36          1019.1295           110.5874             5.0000
         -30332.42          1010.1186           110.5874             5.0000
         -30160.48          1001.1078           110.5874             5.0000
         -29988.55           992.0970           110.5874             5.0000
         -29816.61           983.0862           110.5874             5.0000
         -29644.67           974.0754           110.5874             5.0000
         -29472.74           965.0645           110.5874             5.0000
         -29300.80           956.0537           110.5874             5.0000
         -29128.86           947.0429           110.5874             5.0000
         -28956.93           938.0321           110.5874             5.0000
         -28784.99           929.0213           110.5874             5.0000
         -28613.05           920.0104           110.5874             5.0000
         -28441.12           910.9996           110.5874             5.0000
         -28269.18           901.9888           110.5874             5.0000
         -28097.24           892.9780           110.5874             5.0000
         -27925.31           883.9671           110.5874             5.0000
         -27753.26           876.5323           110.5874             5.0000
         -27581.09           876.5323           110.5874             5.0000
         -27408.91           876.5323           110.5874             5.0000
         -27236.74           876.5323           110.5874             5.0000
         -27064.57           876.5323           110.5874             5.0000
         -26892.40           876.5323           110.5874             5.0000
         -26720.22           876.5323           110.5874             5.0000
         -26548.05           876.5323           110.5874             5.0000
         -26375.88           876.5323           110.5874             5.0000
         -26203.71           876.5323           110.5874             5.0000
         -26031.53           876.5323           110.5874             5.0000
         -25859.36           876.5323           110.5874             5.0000
         -25687.19           876.5323           110.5874             5.0000
         -25515.01           876.5323           110.5874             5.0000
         -25342.84           876.5323           110.5874             5.0000
         -25170.67           876.5323           110.5874             5.0000
         -24998.50           876.5323           110.5874             5.0000
         -24826.32           876.5323           110.5874             5.0000
         -24654.15           876.5323           110.5874             5.0000
         -24481.98           876.5323           110.5874             5.0000
         -24309.81           876.5323           110.5874             5.0000
         -24137.63           876.5323           110.5874             5.0000
         -23965.46           876.5323           110.5874             5.0000
         -23793.29           876.5323           110.5874             5.0000
         -23621.12           876.5323           110.5874             5.0000
         -23448.94           876.5323           110.5874             5.0000
         -23276.77           876.5323           110.5874             5.0000
         -23104.60           876.5323           110.5874             5.0000
         -22932.42           876.5323           110.5874             5.0000
         -22760.25           876.5323           110.5874             5.0000
         -22588.08           876.5323           110.5874             5.0000
         -22415.91           876.5323           110.5874             5.0000
         -22243.73           876.5323           110.5874             5.0000
         -22071.56           876.5323           110.5874             5.0000
         -21899.39           876.5323           110.5874             5.0000
         -21727.22           876.5323           110.5874             5.0000
         -21555.04           876.5323           110.5874             5.0000
         -21382.87           876.5323           110.5874             5.0000
         -21210.70           876.5323           110.5874             5.0000
         -21038.52           876.5323           110.5874             5.0000
         -20866.35           876.5323           110.5874             5.0000
         -20694.18           876.5323           110.5874             5.0000
         -20522.01           876.5323           110.5874             5.0000
