!        psi (rad)      defl_flap (rad)     defl_slat (rad)    LandingGear   
0.08726646111111111                0.0                0.0                  0
0.08726646111111111                0.0                0.0                  0
0.08726646111111111                0.0                0.0                  0
0.08726646111111111                0.0                0.0                  0
0.08726646111111111                0.0                0.0                  0
0.08726646111111111                0.0                0.0                  0
0.08726646111111111                0.0                0.0                  0
0.08726646111111111                0.0                0.0                  0
0.08726646111111111                0.0                0.0                  0
0.08726646111111111                0.0                0.0                  0
0.08726646111111111                0.0                0.0                  0
0.08726646111111111                0.0                0.0                  0
0.08726646111111111                0.0                0.0                  0
0.08726646111111111                0.0                0.0                  0
0.08726646111111111                0.0                0.0                  0
0.08726646111111111                0.0                0.0                  0
0.08726646111111111                0.0                0.0                  0
0.08726646111111111                0.0                0.0                  0
0.08726646111111111                0.0                0.0                  0
0.08726646111111111                0.0                0.0                  0
0.08726646111111111                0.0                0.0                  0
0.08726646111111111                0.0                0.0                  0
0.08726646111111111                0.0                0.0                  0
0.08726646111111111                0.0                0.0                  0
0.08726646111111111                0.0                0.0                  0
0.08726646111111111                0.0                0.0                  0
0.13962633777777778                0.0                0.0                  0
0.13962633777777778                0.0                0.0                  0
0.13962633777777778                0.0                0.0                  0
0.13962633777777778                0.0                0.0                  0
0.13962633777777778                0.0                0.0                  0
0.13962633777777778                0.0                0.0                  0
0.13962633777777778                0.0                0.0                  0
0.13962633777777778                0.0                0.0                  0
0.13962633777777778                0.0                0.0                  0
0.13962633777777778                0.0                0.0                  0
0.13962633777777778                0.0                0.0                  0
0.13962633777777778                0.0                0.0                  0
0.13962633777777778                0.0                0.0                  0
0.13962633777777778                0.0                0.0                  0
0.13962633777777778                0.0                0.0                  0
0.13962633777777778                0.0                0.0                  0
0.13962633777777778                0.0                0.0                  0
0.13962633777777778                0.0                0.0                  0
0.13962633777777778                0.0                0.0                  0
0.13962633777777778                0.0                0.0                  0
0.13962633777777778                0.0                0.0                  0
0.13962633777777778                0.0                0.0                  0
0.13962633777777778                0.0                0.0                  0
0.13962633777777778                0.0                0.0                  0
