!          P3 (Pa)           P4 (Pa)           P7 (Pa)            T3 (K)            T4 (K)            T5 (K)         W3 (kg/s)        
  638223.099816337   615656.530284518    91284.399159602      523.323893724      882.452199952      538.288132857        7.909090755
  638941.425096249   616349.818281945    91384.109676868      523.438697588      882.647559644      538.410796135        7.917060786
  639148.173079177   616545.391642468    91482.283857433      523.417533998      882.466732515      538.385039048        7.920459807
  639095.972433446   616490.762625239    91579.737637203      523.330451269      882.166110268      538.332753241        7.921220773
   639687.18903259   617060.377854445    91679.303996833       523.41131718      882.267699884      538.418458239        7.928056889
  640439.024376874   617786.248637202    91779.465237164      523.534649435       882.48661587      538.550388774        7.936329683
  641383.867788059   618701.611342983     91880.33671306      523.711751197      882.916311099      538.786000111         7.94600427
  642097.881573968   619390.679807427     91980.55098167      523.824645215      883.106416633      538.906597431         7.95393932
  642057.643049584   619345.958655034    92078.463489499      523.737905726      882.745066904      538.809888931        7.955133789
  642498.644348147   619771.146786306    92177.999336158      523.781286269      882.805550247      538.900044297        7.960305549
  642867.968016577   620124.873095503    92277.382908876      523.802823468      882.743578493      538.921401806        7.965161155
 1664790.680583053  1611457.700609033     97362.14912712      679.023706667      1237.44253355      622.790326081        17.23963569
 1664737.570000897  1611406.178210418    97361.803334762      679.018148036     1237.430632041      622.788483295       17.239174574
 1664696.261446022  1611366.104923191    97361.534389119      679.013824529     1237.421375093      622.787050027       17.238815923
 1664749.864157878  1611418.104730568    97361.883378772      679.019434772     1237.433387048      622.788909864       17.239281314
 1664745.930029368  1611414.288245794    97361.857764665      679.019023017     1237.432505448      622.788773362       17.239247157
 1664691.835513775  1611361.811341729    97361.505573717       679.01336129     1237.420383265      622.786896463       17.238777496
 1664760.682997944  1611428.600051036    97361.953817776      679.020567092     1237.435811439      622.789285246       17.239375245
 1664727.242887746  1611396.159913078    97361.736098017      679.017067169     1237.428317822      622.788124977       17.239084911
 1664693.802594223  1611363.719599631    97361.518380559      679.013567174     1237.420824078      622.786964714       17.238794575
 1664695.277904342  1611365.150792841    97361.527985691      679.013721587     1237.421154687      622.787015902       17.238807384
 1664688.393117013  1611358.471884669    97361.483161776      679.013000992     1237.419611843      622.786777025       17.238747608
 1664708.063917556  1611377.554459923    97361.611230365      679.015059828     1237.424019954      622.787459531       17.238918395
 1664717.899293875  1611387.095724637    97361.675264963      679.016089237     1237.426223994      622.787800785       17.239003788
 1664704.621532201  1611374.215013799    97361.588818306      679.014699534     1237.423248538      622.787340092       17.238888507
 1664733.635863193   1611402.36171678    97361.777720732      679.017736278     1237.429750435      622.788346793       17.239140417
 1664707.572148873  1611377.077396827    97361.608028647      679.015008358     1237.423909753      622.787442468       17.238914125
  1664880.18070482  1611544.524392888    97362.731864765      679.033073579     1237.462589081      622.793431552        17.24041274
 1664834.939052183  1611500.635607281    97362.437292058      679.028338721     1237.452451233      622.791861748       17.240019948
 1664690.851982632  1611360.857221428    97361.499170263      679.013258349     1237.420162856      622.786862336       17.238768957
 1664701.179144508  1611370.875565419    97361.566406267      679.014339238      1237.42247712      622.787220654        17.23885862
 1664816.743947696  1611482.984594485    97362.318823752      679.026434448     1237.448373988      622.791230416       17.239861976
 1665390.109525654   1612039.20505098    97366.052504961      679.086434516     1237.576844366      622.811126727       17.244839852
 1665326.186371838   1611977.19333053    97365.636194562      679.079746023     1237.562522738      622.808908355       17.244284897
 1664892.474574394  1611556.450638039    97362.811912429      679.034360202     1237.465343892      622.793858131       17.240519477
 1664745.930042333  1611414.288258189    97361.857764644      679.019023019     1237.432505446       622.78877336       17.239247157
 1664714.948683541  1611384.233347688    97361.656054565      679.015780415     1237.425562784      622.787698409        17.23897817
 1665161.458211846  1611817.390920989    97364.563433761      679.062509075     1237.525614893      622.803191882       17.242854774
 1665975.221028097  1612606.820928649    97369.863740007      679.147647696     1237.707921019      622.831434369        17.24991937
 1668037.413396394  1614607.356828654    97383.304806619      679.363261001     1238.169687419      622.903037377       17.267819144
 1669904.828495689  1616418.946876344    97395.487880665      679.558336055     1238.587562538      622.967917112       17.284024638
 1671400.806039294  1617870.208605916    97405.255593481      679.714491209     1238.922130579      623.019918872       17.297004308
 1678952.261365565  1625196.018109942    97454.668791953      680.501133527     1240.608399018      623.282771566       17.362490132
 1688203.510075431   1634170.99214344    97515.448713326      681.461218394     1242.668371225      623.605566884       17.442640871
  1698593.02683609  1644250.451506438    97584.027026518      682.534714679     1244.974097446      623.969032116       17.532555129
 1708847.883899268   1654199.48340965    97652.048180091      683.589452914     1247.241945578      624.328704232       17.621203332
 1726100.255102247  1670937.813223622    97767.226806716      685.353181549      1251.03937116      624.935667377       17.770119259
 1739017.327853608  1683470.375926153    97854.070674545      686.665125294     1253.867727401      625.391359363       17.881435678
 1741653.675168598  1686028.272535038    97871.858754889      686.932071284     1254.443342582      625.484398579       17.904137181
 1736390.162396071  1680921.400589271    97836.366103214      686.398807301     1253.293595008      625.298685875       17.858806973
 1737638.470509389  1682132.554874449    97844.775821662       686.52538625     1253.566462137       625.34271563       17.869559867
 1762739.972656209  1706487.019672483    98014.878409571      689.068594149     1259.037959471       626.23206458       18.085410479
 1798298.702174097  1740989.251350421    98259.187738933      692.630551208     1266.714319536       627.49960882        18.39018195
 1840123.283738271   1781574.04230631    98551.570460175      696.751270774     1275.624143206      628.997404392       18.747269438
 1887404.224524302  1827456.919427031    98888.612289258      701.323262748     1285.542180259      630.696026582       19.149215232
 1938236.288396119  1876786.474234038    99258.419926926      706.140628384     1295.960259519      632.475443121        19.57991745
  1970289.04568432  1907892.179958073    99495.554056384      709.128737639     1302.407343747      633.575072695       19.850736537
 1976377.093126688  1913800.601094984    99540.954724729      709.692105734     1303.625962133      633.785400724       19.902073903
 1959943.800916936  1897852.354201064    99418.669315468      708.168373939     1300.332236295      633.218714326       19.763426556
  1955027.47756219  1893081.256133583    99382.247993063      707.710631478     1299.344176119      633.049837137       19.721901822
 1941383.703655951  1879840.792580857    99281.564202023      706.435702011     1296.595650839      632.582822482       19.606550708
 1931782.168160812  1870523.329532378    99211.056220832      705.534407118     1294.655741484      632.255676546       19.525275307
  1916095.90122708  1855301.611617292    99096.481449739      704.054594582     1291.476371722      631.724013642       19.392314941
 1909232.121262716  1848640.537366658    99046.536958598      703.404107968      1290.06612715      631.481065686       19.334185361
 1890088.797823571  1830062.215893683     98907.95608306      701.580184738     1286.100434746      630.792563531       19.171984235
 1875737.714941657  1816135.054856242    98804.806694572      700.203442278     1283.110058571       630.27657656       19.050201132
 1873627.074944504  1814086.788401637    98789.689863763      700.000274723     1282.668995177      630.200708098        19.03227661
 1867311.775690336  1807958.159904606    98744.540465972      699.391311744     1281.347340659      629.973736135       18.978623106
 1864428.562535435  1805160.190934327    98723.968681294      699.112763017     1280.742980601      629.870133211       18.954117356
 1857457.705009619  1798395.485879393    98674.337484842      698.437924798      1279.27929022      629.619706701       18.894841346
 1867983.780393317  1808610.298200049    98749.338919185      699.456186623     1281.488114753      629.997885249       18.984333829
 1882711.177310877  1822902.486456983      98854.8496784      700.873442713     1284.565008357      630.527279504       19.109398001
 1859114.889535744  1800003.654710382    98686.122733627      698.598531687     1279.627575199      629.679232745       18.908936589
  1811828.03587278  1754117.209401209    98353.173644967      693.971539432     1269.610504809      627.983409992       18.505853253
 1757431.605808599  1701336.575613202       97978.744638      688.532109495     1257.884012264      626.043480589       18.039816659
  683949.033519813   660113.560904553     92487.64949842      534.376629524      912.714166492      551.153954805        8.327081877
  600277.217597996   578731.147021109    92321.804367383      512.155950111      852.154930943      527.482906889        7.576204127
  478398.341393055   460590.606511889     92082.83764432      477.381225291      769.541257902      494.985854732        6.368824992
  476418.968779217    458690.67557515    92176.939648226      476.646345269      768.671120768      494.946975947        6.346330143
  474247.515283088   456606.325160667    92270.685610305      475.842413645      767.719530097      494.896803628        6.321610107
  472241.910465788    454681.34177546    92364.951513402      475.089657851      766.833935125      494.856159953        6.298781927
  470223.267888062   452743.905454255    92459.299266002      474.328064189      765.940719679      494.814688721        6.275787794
  468191.393909156   450793.830658318    92553.728821593      473.557497758      765.039789698      494.772412468        6.252624902
  466090.077885024   448776.983633785    92637.053523626      472.766924998      764.113918753      494.717611829        6.228615785
  464031.417305387   446801.322535947    92731.637472942      471.978018503      763.197314935      494.673816223        6.205109485
  461958.945336963   444812.467847511    92826.303139494      471.179721927      762.272739125      494.629312107        6.181425806
  459817.235149977   442757.038634735    92909.837640231      470.361052082       761.32304255      494.572407607        6.156895328
  457902.677150534   440919.961918542    93005.095645582      469.609235525      760.460746066       494.53745423        6.135001166
   455734.01689469   438838.790688901    93088.767279583      468.771811424      759.495378594      494.479415485        6.110120759
  453600.389920687   436791.644900954    93183.729376391      467.935316877      758.546448975      494.439015114        6.085611883
  451578.315538628   434851.746025001    93267.946236954      467.145818839       757.66376927      494.406948879        6.062287878
  449407.338884004   432769.135370422    93363.043205379      466.289897048      756.711935321      494.376722381        6.037235297
  447358.827471213   430803.985805036    93447.398384783      465.482014453      755.814763443      494.344351923         6.01356318
  445158.843812876   428693.669906587    93542.651109932       464.60599376      754.847245601      494.313954052        5.988127917
  443083.279156937   426702.683191995    93627.144928317      463.779194434      753.935482007      494.281587457        5.964097136
  440994.522018922   424699.098233731    93711.704140345      462.943097718      753.016677231      494.249348851        5.939890372
  438697.810387558   422495.971546179    93795.888640876      462.025591989      752.008940016      494.207677183         5.91322876
  436633.725168073   420516.387317811    93891.885232765      461.180416373       751.09236232      494.187698417         5.88928639
  434503.432795711   418473.142864537    93976.649537067      460.314905177      750.151893627      494.156446938        5.864521529
  432359.410297502   416416.790562953    94061.479773197      459.439573882      749.204416145      494.125734158        5.839570562
  430201.534164703   414347.213693814    94146.376109687      458.554292392      748.249958435       494.09567939        5.814431004
  428029.684792626   412264.299384576    94231.338730842        457.6589301      747.288558124       494.06640992        5.789100372
  425844.400097548   410168.564231889     94316.36923657      456.753688761      746.320590106      494.038095465        5.763583662
  553059.290802714   533379.102709853    94725.897721172      496.848194994      835.265367659      529.021889616        7.056371215
  653204.463678078   630729.227527596    95112.630660532      526.131804188      910.767307555      560.418070781        7.963834668
  732847.295159897   708220.208929542    95466.977627578      546.505520221      965.588369063      582.735299873        8.663807473
   794244.64298658   767986.392040863    95777.520205964      560.402656447     1004.210393602      598.057151112        9.197139228
   853859.89981009   826065.493125723    96100.984309058      578.630431705     1050.212588232      620.274297095        9.655264752
  858228.999051045     830310.2385199    96207.387342587       579.34629005     1052.069817002      620.908429164        9.695570161
  812723.614935877   785983.820348858    96115.170796648      563.714029931     1014.456060455      602.215662575        9.360819266
  811227.063653754   784537.545430153    96188.047929456      563.467046934      1014.07944866      602.354072113        9.345448115
  810028.275354301   783379.384236961    96273.295947077      563.264435073     1013.782814377      602.509467595        9.333108285
  808770.922402951   782164.274293925    96358.407624438      563.051514882     1013.457559316      602.655724914        9.320229165
  807479.975829508   780917.973133591    96432.272182334      562.840459014     1013.183196181      602.827965556        9.306715625
  806158.111463082   779640.142467616    96517.301389793      562.616102776     1012.826740716      602.964494691        9.293236159
  805118.397459993   778636.701206215    96603.464119521      562.441415129     1012.609755696      603.146392893        9.282328594
  803543.411160832   777113.240572691    96676.474525348      562.176579451     1012.154699065      603.244448845        9.266400999
  802265.618727858    775878.99107484    96761.921994414      561.956334231     1011.840745054      603.404471369        9.253212984
  801112.429163415    774769.43116995    96836.697934244      561.747652511     1011.701242981      603.654384138        9.240628494
   799942.89040605   773643.645924159    96922.753124065      561.532548739     1011.536157909      603.906360089        9.227976279
  798799.842203727    772543.26451772    96997.692774136      561.325518927     1011.377127036      604.139912449        9.215596702
  797653.642469979   771435.548388443    97083.915919773      561.087236563     1011.006674104      604.239106509         9.20418522
  796622.331210538    770439.12001332    97159.330588022      560.876508516      1010.68911557      604.336032053        9.193838627
  795835.329098216   769681.392628316    97235.720825809      560.721661095     1010.555734909      604.516535477        9.185425562
  794204.258101767   768101.615936694    97320.386283076      560.388793479     1009.910018479      604.513509139         9.16972748
  793158.017209704   767090.485038563    97395.944225091      560.179173187     1009.584643489      604.607174947        9.159233872
  791914.626574603   765888.427146112      97470.8578211      559.935352549     1009.192222244      604.691565724        9.146784011
   790773.13432976     764784.5022412    97546.194930382      559.708911637     1008.813460806      604.765429309        9.135437736
    789533.8066207   763585.751705003    97632.603046975      559.462125933     1008.392783176      604.845486888        9.123158773
  788476.403707882   762564.326787805    97708.394319134      559.246659436     1008.076489063      604.949130026        9.112479673
  787307.052419858    761435.57038294    97783.865667504      559.006917724     1007.754683516      605.072582995        9.100535389
   786241.33480755   760406.640903726    97859.763534491      558.784958973     1007.447868832       605.18607781        9.089710503
  793512.179267622   767489.723406206    97966.021555254      560.244643738      1011.81575553       607.00612074        9.152819365
  767460.512091262   742150.188030981    97952.133753879      554.932385233      997.428027611      601.978672271        8.919687648
  755552.463933024   730574.795717447    97990.139351671      552.451779205      990.960912672      599.850138662        8.811581862
  770422.450484497   745050.079349857    98122.675902313      555.542983267      999.805016332      603.337149896        8.942912233
  825180.294275163   798530.263726252    98410.998564528      573.759908602     1049.893058263       629.53863465        9.333638787
  889204.869435992   860586.772061361    98735.161127782      584.186731601     1071.219321183      632.643477409        9.950347763
  967159.904540396   936148.975711131    99130.210535177       595.62324819      1094.63736676      635.243885327       10.698269103
 1043152.189983613  1009831.993397994    99535.875515541      606.001269683     1116.436152077      637.634531119       11.417832216
 1099206.725246643  1064193.187964401    99855.939935324      613.247724413     1131.836361644      639.253468479       11.943524892
 1103749.926854968  1068607.811271935    99956.355574272      613.802318964     1133.284678694      639.662596732       11.984718623
